,dcc_mean_pairwise_corr
2023-03-06,0.37252148454575257
2023-03-07,0.3644202065675116
2023-03-08,0.3838761097654742
2023-03-09,0.37315469976434257
2023-03-10,0.3684777356095271
2023-03-13,0.3645582768626783
2023-03-14,0.4019894537574903
2023-03-15,0.38212522273371363
2023-03-16,0.35776306545586917
2023-03-17,0.3326067028452476
2023-03-20,0.3287722842230588
2023-03-21,0.33736934665401697
2023-03-22,0.332431997646772
2023-03-23,0.3247402600981699
2023-03-24,0.3241469793593037
2023-03-27,0.32601313420741035
2023-03-28,0.32465084763404617
2023-03-29,0.32541732117437316
2023-03-30,0.35209589554373116
2023-03-31,0.3511996036946945
2023-04-03,0.3136302931177025
2023-04-04,0.3142440826071288
2023-04-05,0.3110105341249788
2023-04-06,0.3100081899989581
2023-04-11,0.3022855122519422
2023-04-12,0.29873882458477025
2023-04-13,0.30230570774898746
2023-04-14,0.2942878994839876
2023-04-17,0.269489196108662
2023-04-18,0.21253752223891675
2023-04-19,0.21529845617718008
2023-04-20,0.22104894511482326
2023-04-25,0.2195070496860973
2023-04-26,0.22328961144888684
2023-04-27,0.21770286098812514
2023-04-28,0.22066863841108314
2023-05-02,0.22661711261637282
2023-05-03,0.15933073444496415
2023-05-04,0.16947050942370306
2023-05-05,0.17581609703433854
2023-05-08,0.18679619419531424
2023-05-09,0.20716608734989847
2023-05-10,0.20979846748951658
2023-05-11,0.19603057284370246
2023-05-12,0.18935028998352516
2023-05-15,0.1944157078805448
2023-05-16,0.20054101610676733
2023-05-17,0.23430333490167854
2023-05-18,0.2431701974268278
2023-05-19,0.24509244020814291
2023-05-22,0.24648953605303117
2023-05-23,0.25386587511791153
2023-05-24,0.2821413793761378
2023-05-25,0.2685885308203452
2023-05-26,0.27123265370744143
2023-05-30,0.30140680734898345
2023-05-31,0.43412056835395363
2023-06-01,0.4325989953644349
2023-06-02,0.42480957060593366
2023-06-05,0.41283053836888717
2023-06-06,0.4030266586125698
2023-06-07,0.39963084927982867
2023-06-08,0.3933609646137393
2023-06-09,0.38874616159880004
2023-06-13,0.38027365268317864
2023-06-14,0.5070996617285983
2023-06-15,0.5448616282311696
2023-06-16,0.5393428052874775
2023-06-19,0.5300973585685317
2023-06-20,0.5253968319083595
2023-06-21,0.5166951468530887
2023-06-22,0.5074588228936954
2023-06-23,0.48308580421648795
2023-06-26,0.47500429647194264
2023-06-27,0.46200965270492145
2023-06-30,0.47798990980777323
2023-07-03,0.4653110491544957
2023-07-04,0.5203815121739953
2023-07-05,0.5236904370943238
2023-07-06,0.5186982841955716
2023-07-07,0.5107301577322311
